,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
62,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M
66,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
67,2022,MI,FT,Data Analyst,50000,GBP,65438,GB,0,GB,M
69,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
71,2022,MI,FT,Data Scientist,115000,CHF,122346,CH,0,CH,L
74,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
76,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S
77,2021,SE,FT,Head of Data,87000,EUR,102839,SI,100,SI,L
79,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M
83,2022,MI,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M
89,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L
90,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
91,2022,MI,PT,Data Engineer,50000,EUR,54957,DE,50,DE,L
95,2022,EN,FT,Data Engineer,52800,EUR,58035,PK,100,DE,M
97,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
98,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L
100,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
101,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L
109,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
110,2022,MI,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M
111,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M
114,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
115,2022,MI,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M
116,2021,MI,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M
123,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L
127,2022,SE,FT,Data Engineer,50000,GBP,65438,GB,0,GB,M
131,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L
137,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L
138,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L
145,2022,EN,FT,Data Scientist,120000,AUD,86703,AU,50,AU,M
146,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M
148,2022,MI,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M
150,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L
156,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L
157,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L
162,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S
163,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
164,2022,MI,FT,Head of Data,30000,EUR,32974,EE,100,EE,S
172,2022,EN,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M
174,2022,SE,FT,Principal Data Scientist,148000,EUR,162674,DE,100,DE,M
178,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S
185,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M
188,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
190,2022,MI,FT,Data Engineer,60000,EUR,65949,ES,100,ES,M
191,2021,SE,FT,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M
193,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S
194,2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M
197,2022,MI,FT,Data Scientist,50000,GBP,65438,GB,0,GB,M
201,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
202,2022,MI,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M
206,2022,SE,FT,Machine Learning Engineer,57000,EUR,62651,NL,100,NL,L
207,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L
208,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S
214,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L
218,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L
223,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M
226,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,87932,DE,0,DE,M
229,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L
230,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M
232,2022,EN,FT,ML Engineer,20000,EUR,21983,PT,100,PT,L
233,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
236,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
239,2022,EX,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S
240,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L
243,2022,MI,FT,Research Scientist,59000,EUR,64849,AT,0,AT,L
246,2022,MI,FT,Data Scientist,30000,GBP,39263,GB,0,GB,M
248,2022,EX,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L
249,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L
255,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
258,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
259,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S
260,2022,SE,FT,Data Scientist,90000,GBP,117789,GB,0,GB,M
261,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M
267,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
268,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L
269,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L
272,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
274,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
278,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S
280,2022,MI,FT,Data Analyst,35000,GBP,45807,GB,0,GB,M
287,2022,EN,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M
291,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L
292,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S
293,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M
296,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M
300,2022,SE,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M
301,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L
302,2022,MI,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L
305,2022,MI,FT,Data Engineer,62000,EUR,68147,FR,100,FR,M
310,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L
313,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
319,2022,MI,FT,Machine Learning Engineer,80000,EUR,87932,FR,100,DE,M
325,2022,MI,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M
336,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
340,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M
343,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
344,2022,EN,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L
351,2022,MI,FT,Data Engineer,80000,EUR,87932,GR,100,GR,M
353,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L
356,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M
364,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
368,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M
373,2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L
377,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L
378,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L
380,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L
382,2022,MI,FT,Data Engineer,60000,EUR,65949,GR,100,GR,M
388,2022,MI,FT,Data Engineer,80000,EUR,87932,ES,100,ES,M
390,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L
392,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
394,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L
401,2022,MI,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M
402,2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L
408,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S
409,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S
413,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
414,2022,MI,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M
419,2022,MI,FT,Data Engineer,70000,EUR,76940,ES,100,ES,M
420,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M
422,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
423,2022,MI,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M
424,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
432,2022,EX,FT,Head of Machine Learning,6000000,INR,79039,IN,50,IN,L
435,2022,EN,FT,Data Scientist,1400000,INR,18442,IN,100,IN,M
437,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
439,2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,50,IN,L
444,2022,MI,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
446,2022,MI,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M
448,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L
450,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
452,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L
457,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M
458,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L
462,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
464,2022,MI,FT,Machine Learning Engineer,121000,AUD,87425,AU,100,AU,L
465,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L
467,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L
469,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L
474,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,50,PT,L
476,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L
481,2021,MI,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L
483,2022,MI,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M
485,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
490,2022,MI,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M
492,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S
496,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L
498,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L
