,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
210,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
212,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,M
213,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
215,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
216,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
217,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
220,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
221,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
224,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
228,2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M
231,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L
234,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
235,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
237,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
238,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
241,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
242,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
244,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
245,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
247,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
250,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
251,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
252,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
253,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
256,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
257,2022,SE,FT,Data Analytics Manager,150260,USD,150260,US,100,US,M
262,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
263,2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
264,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
265,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
266,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
273,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L
279,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L
281,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
282,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
283,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
284,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
285,2022,SE,FT,Data Engineer,70500,USD,70500,US,0,US,M
286,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
288,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
289,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
290,2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M
294,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
295,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
297,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
298,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
299,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L
304,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
306,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
307,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
308,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
309,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
311,2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
312,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
315,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
316,2022,MI,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
317,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
318,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
320,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L
322,2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
324,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S
326,2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
327,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
329,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
330,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
331,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
332,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
333,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
334,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
335,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
338,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
339,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M
341,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
342,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
345,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
346,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S
347,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
348,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
350,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
352,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
354,2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
355,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
357,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
358,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
359,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
360,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
361,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
362,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
363,2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M
366,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S
367,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
369,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
370,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
372,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
374,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
375,2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
376,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
379,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
381,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
383,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
384,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
385,2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
386,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
387,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
389,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
391,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
393,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
396,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
397,2022,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
399,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
400,2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M
404,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
405,2022,SE,FT,Data Engineer,200100,USD,200100,US,100,US,M
407,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
411,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
412,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
415,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
416,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
417,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
418,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
421,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
425,2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
426,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
427,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
428,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
429,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
430,2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S
431,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
433,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
436,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
440,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,M
441,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L
442,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
443,2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S
445,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
449,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
451,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
453,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
454,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
455,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
456,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
459,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
460,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
461,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
463,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
466,2022,SE,FT,Data Scientist,205300,USD,205300,US,0,US,L
468,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L
470,2022,EN,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M
471,2022,SE,FT,Data Science Manager,137141,USD,137141,US,100,US,M
472,2022,MI,FT,Data Analyst,20000,USD,20000,GR,100,GR,S
473,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
475,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
477,2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
479,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
482,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
484,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
486,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
489,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
491,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
493,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
494,2022,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
497,2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
499,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
