,work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
58,2021,EN,FT,Data Scientist,USD,4000,VN,0,VN,M
59,2021,SE,FT,Machine Learning Engineer,EUR,82744,BE,50,BE,M
60,2022,MI,FT,Machine Learning Scientist,USD,112300,US,100,US,L
61,2021,EN,FT,BI Data Analyst,USD,9272,KE,100,KE,S
62,2021,MI,PT,3D Computer Vision Researcher,INR,5409,IN,50,IN,M
63,2020,SE,FT,Data Scientist,USD,412000,US,100,US,L
64,2021,SE,FT,Data Specialist,USD,165000,US,100,US,L
65,2022,MI,FT,Data Engineer,USD,206699,US,0,US,M
66,2021,SE,FT,Machine Learning Engineer,EUR,94564,DE,50,DE,L
67,2022,MI,FT,Data Analyst,GBP,65438,GB,0,GB,M
69,2021,MI,FT,Applied Data Scientist,CAD,54238,GB,50,CA,L
70,2021,SE,FT,AI Scientist,USD,55000,ES,100,ES,L
71,2022,MI,FT,Data Scientist,CHF,122346,CH,0,CH,L
72,2020,SE,FT,Lead Data Scientist,USD,190000,US,100,US,S
73,2021,EN,FT,Data Analyst,USD,90000,US,100,US,S
74,2021,SE,FT,Data Science Engineer,CAD,127221,CA,50,CA,L
75,2021,SE,FT,ML Engineer,USD,256000,US,100,US,S
76,2021,SE,FT,Data Engineer,EUR,76833,RO,50,GB,S
77,2021,SE,FT,Head of Data,EUR,102839,SI,100,SI,L
78,2021,MI,FT,Data Scientist,USD,73000,US,0,US,L
79,2021,SE,FT,Data Scientist,EUR,77684,FR,50,FR,M
80,2021,SE,FT,Data Engineer,USD,150000,US,100,US,L
81,2022,EN,FT,Data Engineer,USD,120000,US,100,US,M
82,2021,MI,FT,Data Analyst,USD,90000,US,100,US,M
83,2022,MI,FT,Data Analyst,EUR,32974,GR,100,GR,M
84,2022,EX,FT,Analytics Engineer,USD,135000,US,100,US,M
85,2021,EX,FT,BI Data Analyst,USD,150000,IN,100,US,L
86,2020,EN,FT,Machine Learning Engineer,USD,138000,US,100,US,S
87,2022,SE,FT,Data Engineer,USD,183600,US,100,US,L
88,2021,MI,FT,Data Scientist,USD,109000,US,50,US,L
89,2021,SE,FT,Data Analyst,EUR,63831,DE,50,DE,L
90,2021,MI,FT,Data Scientist,CLP,40038,CL,100,CL,L
91,2022,MI,PT,Data Engineer,EUR,54957,DE,50,DE,L
92,2022,MI,FT,Data Scientist,USD,120000,US,100,US,M
93,2020,MI,FT,Data Engineer,USD,110000,US,100,US,L
94,2022,SE,FT,Data Engineer,USD,181940,US,0,US,M
95,2022,EN,FT,Data Engineer,EUR,58035,PK,100,DE,M
96,2021,EN,FT,Research Scientist,USD,100000,JE,0,CN,L
98,2020,MI,FT,Data Scientist,INR,40481,IN,0,IN,L
99,2022,SE,FT,Data Engineer,USD,126000,US,100,US,M
100,2021,MI,FT,Machine Learning Engineer,EUR,47282,ES,100,ES,S
101,2021,SE,FT,Marketing Data Analyst,EUR,88654,GR,100,DK,L
102,2021,SE,FT,Data Analytics Manager,USD,120000,US,0,US,L
103,2022,EX,FT,Data Engineer,USD,200000,US,100,US,M
104,2022,SE,FT,Data Analyst,USD,136600,US,100,US,M
105,2021,EN,FT,Data Analyst,USD,80000,US,100,US,M
106,2022,SE,FT,Data Analyst,USD,120600,US,100,US,M
107,2022,SE,FT,Data Architect,USD,266400,US,100,US,M
108,2022,SE,FT,Data Analyst,USD,155000,US,100,US,M
110,2022,MI,FT,Data Analyst,GBP,39263,GB,100,GB,M
111,2021,MI,FT,Data Engineer,TRY,12103,TR,0,TR,M
112,2021,SE,FT,Data Engineering Manager,USD,153000,US,100,US,L
113,2022,SE,FT,Data Scientist,USD,176000,US,100,US,M
114,2021,EN,FT,Data Science Consultant,EUR,63831,DE,50,DE,L
115,2022,MI,FT,Data Analyst,EUR,32974,ES,100,ES,M
116,2021,MI,FT,Data Engineer,TRY,28016,TR,100,TR,M
117,2021,SE,FT,Principal Data Analyst,USD,170000,US,100,US,M
118,2022,SE,FT,Data Scientist,USD,138600,US,100,US,M
119,2022,MI,FT,Machine Learning Engineer,USD,120000,US,100,US,S
120,2022,SE,FT,Data Analyst,USD,99050,US,100,US,M
121,2021,MI,FT,Head of Data Science,USD,110000,US,0,US,S
122,2020,SE,FT,Lead Data Engineer,USD,125000,NZ,50,NZ,S
123,2021,MI,FT,Data Scientist,EUR,88654,DE,50,DE,L
124,2022,SE,FT,Data Architect,USD,144854,US,100,US,M
125,2022,SE,FT,Data Science Manager,USD,152500,US,100,US,M
126,2021,MI,FT,Applied Machine Learning Scientist,USD,38400,VN,100,US,M
127,2022,SE,FT,Data Engineer,GBP,65438,GB,0,GB,M
128,2022,SE,FT,Data Scientist,USD,99360,US,100,US,M
129,2022,SE,FT,Data Scientist,USD,150000,US,100,US,M
130,2021,MI,FT,Data Architect,USD,180000,US,100,US,L
131,2021,EX,FT,Director of Data Science,EUR,153667,IT,100,PL,L
132,2021,MI,FT,Data Scientist,USD,147000,US,50,US,L
134,2021,MI,FT,Data Analyst,USD,135000,US,100,US,L
135,2022,SE,FT,Data Engineer,USD,160080,US,100,US,M
136,2022,SE,FT,Data Scientist,USD,170000,US,100,US,M
137,2021,SE,FT,Data Scientist,EUR,53192,FR,50,FR,L
138,2021,MI,FT,Lead Data Analyst,INR,19609,IN,100,IN,L
139,2022,SE,FT,Data Scientist,USD,211500,US,100,US,M
140,2020,EN,FT,Data Scientist,USD,105000,US,100,US,S
141,2020,MI,FT,Data Analyst,USD,8000,PK,50,PK,L
142,2021,EN,FT,Data Scientist,USD,13400,UA,100,UA,L
144,2021,SE,FT,Lead Data Analyst,USD,170000,US,100,US,L
145,2022,EN,FT,Data Scientist,AUD,86703,AU,50,AU,M
146,2021,MI,FT,Data Science Engineer,EUR,40189,GR,100,GR,M
147,2022,MI,FT,Data Scientist,USD,130000,US,100,US,M
148,2022,MI,FT,Data Scientist,GBP,45807,GB,0,GB,M
149,2020,MI,FT,Research Scientist,USD,450000,US,0,US,M
150,2020,MI,FT,Data Scientist,EUR,79833,DE,0,DE,L
151,2022,EN,FT,Data Analyst,USD,67000,CA,0,CA,M
154,2022,SE,FT,Data Engineer,USD,132320,US,100,US,M
155,2022,SE,FT,Data Analyst,USD,102100,US,100,US,M
156,2021,MI,FT,Data Engineer,GBP,72212,GB,50,GB,L
157,2020,SE,FT,Data Engineer,EUR,47899,GR,50,GR,L
158,2022,SE,FT,Data Engineer,USD,154600,US,100,US,L
159,2021,MI,FT,Data Scientist,USD,50000,NG,100,NG,L
160,2021,SE,FT,Data Analyst,USD,80000,BG,100,US,S
162,2021,MI,FT,Data Engineer,GBP,66022,HK,50,GB,S
163,2020,EN,FT,Data Science Consultant,INR,5707,IN,50,IN,M
164,2022,MI,FT,Head of Data,EUR,32974,EE,100,EE,S
166,2021,MI,FT,Data Engineer,USD,100000,US,100,US,L
167,2021,MI,FT,Research Scientist,USD,69999,CZ,50,CZ,L
168,2021,EN,FT,Data Scientist,USD,100000,US,100,US,M
170,2022,SE,FT,Data Engineer,USD,160000,US,0,US,L
171,2022,SE,FT,Applied Data Scientist,USD,380000,US,100,US,L
172,2022,EN,FT,Data Engineer,GBP,45807,GB,100,GB,M
173,2022,SE,FT,Analytics Engineer,USD,184700,US,0,US,M
174,2022,SE,FT,Principal Data Scientist,EUR,162674,DE,100,DE,M
175,2021,EX,FT,Director of Data Science,USD,250000,US,0,US,L
176,2020,SE,FL,Computer Vision Engineer,USD,60000,RU,100,US,S
177,2022,SE,FT,Data Analyst,USD,150000,US,100,US,M
178,2020,MI,FT,Data Scientist,GBP,76958,GB,100,GB,S
179,2021,SE,FT,Lead Data Engineer,USD,276000,US,0,US,L
180,2021,SE,FT,Lead Data Engineer,USD,160000,PR,50,US,S
181,2021,SE,FT,Data Engineer,USD,150000,US,100,US,M
182,2022,SE,FT,Data Engineer,USD,54000,US,0,US,M
183,2022,MI,FT,AI Scientist,USD,200000,IN,100,US,L
184,2022,SE,FT,Data Scientist,USD,230000,US,100,US,M
185,2022,MI,FT,Data Engineer,GBP,98158,GB,100,GB,M
187,2022,SE,FT,Data Analyst,USD,81666,US,0,US,M
188,2021,MI,FT,Machine Learning Engineer,EUR,88654,BE,100,BE,M
190,2022,MI,FT,Data Engineer,EUR,65949,ES,100,ES,M
191,2021,SE,FT,Principal Data Scientist,EUR,173762,DE,100,DE,M
192,2022,MI,FT,Data Scientist,USD,200000,US,100,US,M
193,2020,SE,FT,Data Scientist,EUR,91237,AT,0,AT,S
194,2021,SE,FT,Computer Vision Engineer,BRL,18907,BR,0,BR,M
195,2022,SE,FT,Data Scientist,USD,180000,US,100,US,M
197,2022,MI,FT,Data Scientist,GBP,65438,GB,0,GB,M
198,2021,EN,FT,Data Science Consultant,USD,90000,US,100,US,S
199,2022,EN,PT,Data Scientist,USD,100000,DZ,50,DZ,M
200,2021,SE,FT,Cloud Data Engineer,USD,160000,BR,100,US,S
201,2021,EN,PT,Data Analyst,EUR,10354,ES,50,ES,M
202,2022,MI,FT,Data Engineer,GBP,104702,GB,100,GB,M
203,2022,SE,FT,Data Scientist,USD,220000,US,100,US,M
204,2021,MI,FT,Data Engineer,USD,4000,IR,100,IR,M
205,2021,SE,FT,Data Scientist,USD,135000,US,0,US,L
206,2022,SE,FT,Machine Learning Engineer,EUR,62651,NL,100,NL,L
207,2021,SE,FT,Data Engineer,GBP,96282,GB,50,GB,L
208,2021,MI,FT,Data Scientist,EUR,25532,RS,100,DE,S
209,2021,MI,FT,Data Scientist,USD,115000,US,50,US,L
210,2022,SE,FT,Data Engineer,USD,80000,US,100,US,M
212,2022,SE,FT,Data Scientist,USD,205300,US,0,US,M
213,2022,MI,FT,Data Scientist,USD,48000,RU,100,US,S
214,2021,MI,FT,Data Engineer,EUR,45391,NL,100,NL,L
215,2021,SE,FT,Research Scientist,USD,50000,FR,100,US,S
216,2021,SE,FT,Data Science Manager,USD,240000,US,0,US,L
217,2022,SE,FT,Data Engineer,USD,93700,US,100,US,M
218,2020,MI,FT,Data Scientist,HUF,35735,HU,50,HU,L
220,2020,MI,FT,Lead Data Engineer,USD,56000,PT,100,US,M
221,2021,EN,FT,Data Analyst,USD,60000,US,100,US,S
223,2020,MI,FT,Data Scientist,EUR,38776,ES,100,ES,M
224,2022,SE,FT,Data Scientist,USD,146000,US,100,US,M
226,2022,SE,FT,Lead Machine Learning Engineer,EUR,87932,DE,0,DE,M
228,2022,SE,FT,Data Engineer,USD,220110,US,100,US,M
229,2020,MI,FT,Data Engineer,EUR,70139,FR,50,FR,L
230,2022,MI,FT,Data Engineer,GBP,98158,GB,0,GB,M
231,2020,EX,FT,Director of Data Science,USD,325000,US,100,US,L
232,2022,EN,FT,ML Engineer,EUR,21983,PT,100,PT,L
233,2021,MI,FT,Machine Learning Engineer,PLN,46597,PL,100,PL,L
234,2022,SE,FT,Data Science Manager,USD,161342,US,100,US,M
235,2022,SE,FT,Data Scientist,USD,136620,US,100,US,M
236,2020,MI,FT,Machine Learning Infrastructure Engineer,EUR,50180,PT,0,PT,M
237,2022,MI,FT,Data Science Manager,USD,159000,US,100,US,M
238,2022,SE,FT,Applied Data Scientist,USD,177000,US,100,US,L
239,2022,EX,FT,Lead Data Engineer,CAD,118187,CA,100,CA,S
240,2021,SE,FT,Data Scientist,TRY,20171,TR,50,TR,L
241,2022,SE,FT,Data Analyst,USD,93700,US,100,US,M
242,2022,SE,FT,Data Analyst,USD,115934,US,0,US,M
243,2022,MI,FT,Research Scientist,EUR,64849,AT,0,AT,L
244,2021,SE,FT,Data Science Manager,USD,144000,US,100,US,L
245,2021,SE,FT,Machine Learning Scientist,USD,120000,US,50,US,S
246,2022,MI,FT,Data Scientist,GBP,39263,GB,0,GB,M
247,2022,SE,FT,Data Engineer,USD,108800,US,0,US,M
248,2022,EX,FT,Director of Data Science,CAD,196979,CA,50,CA,L
249,2021,SE,FT,Research Scientist,EUR,60757,PT,50,PT,L
250,2020,EN,FT,Big Data Engineer,USD,70000,US,100,US,L
251,2021,EN,PT,AI Scientist,USD,12000,PK,100,US,M
252,2020,MI,FT,BI Data Analyst,USD,98000,US,0,US,M
253,2021,SE,FT,Principal Data Scientist,USD,235000,US,100,US,L
255,2020,EN,FT,Data Scientist,EUR,49268,DE,0,DE,S
256,2020,MI,FT,Data Scientist,USD,118000,US,100,US,M
257,2022,SE,FT,Data Analytics Manager,USD,150260,US,100,US,M
258,2021,MI,FT,Data Scientist,INR,33808,IN,0,IN,M
259,2020,SE,FT,Big Data Engineer,EUR,114047,PL,100,GB,S
260,2022,SE,FT,Data Scientist,GBP,117789,GB,0,GB,M
261,2021,SE,FT,Big Data Architect,CAD,99703,CA,50,CA,M
262,2022,SE,FT,Data Scientist,USD,167000,US,100,US,M
263,2022,SE,FT,Data Analyst,USD,126500,US,100,US,M
264,2021,SE,FT,Data Science Manager,USD,152000,US,100,FR,L
265,2022,SE,FT,Data Engineer,USD,220110,US,0,US,M
266,2022,SE,FT,Machine Learning Engineer,USD,192600,US,100,US,M
267,2021,EN,FT,Data Science Consultant,EUR,76833,DE,0,DE,L
268,2021,EN,FT,Data Scientist,INR,29751,IN,50,IN,L
269,2021,MI,FT,Big Data Engineer,INR,22611,IN,0,IN,L
273,2020,EN,FT,Data Analyst,USD,72000,US,100,US,L
274,2020,EN,PT,ML Engineer,EUR,15966,DE,100,DE,S
278,2020,EN,FT,Data Engineer,JPY,41689,JP,100,JP,S
279,2020,MI,FT,Data Scientist,USD,105000,US,100,US,L
280,2022,MI,FT,Data Analyst,GBP,45807,GB,0,GB,M
281,2022,SE,FT,Data Scientist,USD,100000,BR,100,US,M
282,2020,MI,FT,Product Data Analyst,USD,20000,HN,0,HN,S
283,2022,MI,FT,Data Analyst,USD,115500,US,100,US,M
284,2022,SE,FT,Data Scientist,USD,215300,US,0,US,L
285,2022,SE,FT,Data Engineer,USD,70500,US,0,US,M
286,2022,SE,FT,Machine Learning Engineer,USD,164996,US,0,US,M
287,2022,EN,FT,Data Engineer,GBP,52351,GB,100,GB,M
288,2021,EX,CT,Principal Data Scientist,USD,416000,US,100,US,S
289,2020,EN,FT,Research Scientist,USD,42000,NL,50,NL,L
290,2022,SE,FT,Head of Data,USD,200000,MY,100,US,M
291,2021,SE,FT,Machine Learning Engineer,INR,66265,IN,0,IN,L
292,2020,EN,FT,Data Analyst,INR,6072,IN,0,IN,S
293,2021,SE,FT,Data Analyst,CAD,71786,CA,100,CA,M
294,2020,EN,FT,Machine Learning Engineer,USD,250000,US,50,US,L
295,2021,MI,FT,Applied Machine Learning Scientist,USD,423000,US,50,US,L
296,2021,MI,FT,Data Scientist,EUR,46809,ES,100,ES,M
297,2022,SE,FT,Data Analyst,USD,106260,US,100,US,M
298,2021,SE,FT,Data Engineering Manager,USD,174000,US,100,US,L
299,2022,MI,FT,Applied Machine Learning Scientist,USD,75000,BO,100,US,L
300,2022,SE,FT,Data Engineer,GBP,78526,GB,0,GB,M
301,2021,SE,FT,Research Scientist,CAD,96113,CA,50,CA,L
302,2022,MI,FT,Business Data Analyst,CAD,70912,CA,50,CA,L
304,2022,SE,FT,Data Analyst,USD,110925,US,100,US,M
305,2022,MI,FT,Data Engineer,EUR,68147,FR,100,FR,M
306,2020,SE,FT,Data Science Manager,USD,190200,US,100,US,M
307,2022,SE,FT,Data Engineer,USD,160080,US,0,US,M
308,2021,EN,FT,BI Data Analyst,USD,55000,US,50,US,S
309,2022,MI,FT,Applied Data Scientist,USD,157000,US,100,US,L
310,2021,MI,FT,Data Engineer,EUR,28369,MT,50,MT,L
311,2022,EX,FT,Data Engineer,USD,242000,US,100,US,M
312,2021,SE,FT,Data Science Manager,USD,174000,US,100,US,L
313,2021,MI,FT,Data Scientist,CAD,75774,CA,100,CA,L
315,2022,SE,FT,Data Engineer,USD,128875,US,100,US,M
316,2022,MI,FT,Data Analyst,USD,75000,CA,0,CA,M
317,2022,MI,FT,Data Analyst,USD,167000,US,100,US,M
318,2021,MI,FT,Data Analyst,USD,62000,US,0,US,L
319,2022,MI,FT,Machine Learning Engineer,EUR,87932,FR,100,DE,M
320,2021,EX,FT,Head of Data,USD,235000,US,100,US,L
322,2022,SE,FT,Data Analyst,USD,105000,US,100,US,M
324,2022,SE,FT,Machine Learning Engineer,USD,120000,AE,100,AE,S
325,2022,MI,FT,Data Engineer,GBP,58894,GB,100,GB,M
326,2022,MI,FL,Data Scientist,USD,100000,CA,100,US,M
327,2021,SE,FT,Data Engineer,USD,165000,US,0,US,M
329,2022,SE,FT,Data Scientist,USD,150000,US,0,US,M
330,2022,EX,FT,Analytics Engineer,USD,175000,US,100,US,M
331,2022,SE,FT,Data Scientist,USD,180000,US,0,US,M
332,2020,MI,FT,Business Data Analyst,USD,135000,US,100,US,L
333,2022,SE,FT,Data Analyst,USD,128875,US,100,US,M
334,2020,MI,FT,Data Science Consultant,USD,103000,US,100,US,L
335,2021,EN,FT,Data Scientist,USD,80000,US,100,US,M
336,2021,EN,FT,Data Scientist,INR,28399,IN,100,IN,M
338,2022,SE,FT,Data Analytics Manager,USD,105400,US,100,US,M
339,2020,MI,FT,Data Scientist,USD,138350,US,100,US,M
340,2021,SE,FT,Director of Data Engineering,GBP,113476,GB,100,GB,M
341,2022,MI,FT,Data Analyst,USD,58000,US,0,US,S
342,2022,MI,FT,Data Engineer,USD,82900,US,0,US,M
343,2021,MI,FT,Data Scientist,INR,16904,IN,100,IN,S
344,2022,EN,FT,Data Scientist,CAD,52396,CA,100,CA,L
345,2022,SE,FT,Data Analyst,USD,84900,US,100,US,M
346,2021,SE,FT,Director of Data Science,USD,168000,JP,0,JP,S
347,2021,MI,FT,Data Engineer,USD,93150,US,0,US,M
348,2022,MI,FT,Data Scientist,USD,135000,US,100,US,L
350,2020,EN,FT,Data Analyst,USD,10000,NG,100,NG,S
351,2022,MI,FT,Data Engineer,EUR,87932,GR,100,GR,M
352,2022,MI,FT,Data Analyst,USD,106260,US,0,US,M
353,2021,SE,FT,Data Science Manager,INR,54094,IN,50,US,L
354,2022,SE,FT,Data Analytics Lead,USD,405000,US,100,US,L
355,2022,SE,FT,Data Scientist,USD,165000,US,100,US,M
356,2021,MI,FT,Research Scientist,EUR,62649,FR,50,FR,M
357,2022,SE,FT,Machine Learning Engineer,USD,220000,US,100,US,M
358,2022,MI,FT,Data Scientist,USD,141300,US,0,US,M
359,2021,MI,FT,Data Engineer,USD,90000,US,100,US,L
360,2022,SE,FT,Data Engineer,USD,100800,US,100,US,L
361,2022,SE,FT,Data Engineer,USD,113000,US,0,US,L
362,2022,SE,FT,Data Analyst,USD,124190,US,100,US,M
363,2022,EX,FT,Data Engineer,USD,216000,US,100,US,M
364,2021,EN,FT,Applied Data Scientist,GBP,110037,GB,0,GB,L
366,2021,EN,PT,AI Scientist,USD,12000,BR,100,US,S
367,2021,MI,FT,Data Scientist,USD,82500,US,100,US,S
368,2021,EN,FT,Data Engineer,INR,21637,IN,50,IN,M
369,2022,SE,FT,Data Engineer,USD,101570,US,100,US,M
370,2021,MI,FT,Financial Data Analyst,USD,450000,US,100,US,L
372,2022,SE,FT,Data Scientist,USD,120000,US,0,US,L
373,2021,EN,FT,Business Data Analyst,EUR,59102,LU,100,LU,L
374,2022,MI,FT,Data Scientist,USD,90000,US,0,US,M
375,2022,SE,FT,Data Analyst,USD,80000,US,100,US,M
376,2021,EN,FT,Data Analyst,USD,50000,US,100,US,M
377,2021,SE,FT,Finance Data Analyst,GBP,61896,GB,50,GB,L
378,2021,MI,FT,Data Scientist,EUR,37825,ES,100,ES,L
379,2022,SE,FT,Data Scientist,USD,180000,US,0,US,L
380,2021,EN,FT,Data Scientist,EUR,36643,FR,50,FR,L
381,2022,SE,FT,Data Scientist,USD,80000,US,0,US,M
382,2022,MI,FT,Data Engineer,EUR,65949,GR,100,GR,M
383,2022,SE,FT,Machine Learning Engineer,USD,120000,US,100,US,M
384,2022,SE,FT,Data Scientist,USD,260000,US,100,US,M
385,2022,SE,FT,Data Architect,USD,213120,US,100,US,M
386,2022,SE,FT,Data Analytics Manager,USD,145000,US,100,US,M
387,2021,MI,FT,Principal Data Scientist,USD,151000,US,100,US,L
388,2022,MI,FT,Data Engineer,EUR,87932,ES,100,ES,M
389,2022,MI,FT,Machine Learning Scientist,USD,160000,US,100,US,L
390,2021,MI,FT,Data Scientist,GBP,56256,GB,50,GB,L
391,2022,EX,FT,Head of Data Science,USD,224000,US,100,US,M
392,2020,EN,FT,Data Engineer,EUR,54742,PK,100,DE,L
393,2021,SE,FT,Data Analytics Manager,USD,140000,US,100,US,L
394,2021,SE,FT,Lead Data Scientist,INR,40570,IN,50,IN,L
396,2022,SE,FT,Data Scientist,USD,158200,US,100,US,L
397,2022,SE,FT,Data Engineer,USD,145000,US,100,US,M
399,2022,SE,FT,Data Engineer,USD,115000,US,100,US,M
400,2022,SE,FT,Data Analyst,USD,60000,US,100,US,M
401,2022,MI,FT,Data Analyst,GBP,52351,GB,100,GB,M
402,2022,EN,FT,Machine Learning Engineer,GBP,37300,GB,100,GB,L
404,2022,MI,FT,Data Engineer,USD,170000,US,100,US,M
405,2022,SE,FT,Data Engineer,USD,200100,US,100,US,M
407,2022,MI,FT,Data Science Manager,USD,241000,US,100,US,M
408,2021,SE,FT,Lead Data Engineer,GBP,103160,GB,100,GB,S
409,2021,MI,FT,Data Scientist,INR,5679,IN,100,US,S
411,2022,SE,FT,Data Scientist,USD,104890,US,100,US,M
412,2022,SE,FT,Data Engineer,USD,105000,US,100,US,M
414,2022,MI,FT,Data Engineer,GBP,52351,GB,0,GB,M
415,2021,MI,FT,Data Scientist,USD,150000,US,100,US,M
416,2022,MI,FT,Data Scientist,USD,78000,US,100,US,M
417,2021,SE,FT,Data Analyst,USD,200000,US,100,US,L
418,2022,SE,FT,Data Analyst,USD,116000,US,0,US,M
419,2022,MI,FT,Data Engineer,EUR,76940,ES,100,ES,M
420,2021,EX,FT,Director of Data Science,EUR,130026,DE,50,DE,M
421,2022,SE,FT,Data Scientist,USD,120160,US,100,US,M
422,2021,MI,FT,ML Engineer,JPY,63711,JP,50,JP,S
423,2022,MI,FT,Data Scientist,GBP,71982,GB,0,GB,M
424,2021,SE,FT,Machine Learning Engineer,INR,24342,IN,100,IN,L
425,2022,EX,FT,Data Engineer,USD,324000,US,100,US,M
426,2021,SE,FT,Machine Learning Engineer,USD,185000,US,50,US,L
427,2021,SE,FT,Director of Data Engineering,USD,200000,US,100,US,L
428,2021,EN,FT,Machine Learning Scientist,USD,225000,US,100,US,L
429,2021,MI,FT,Big Data Engineer,USD,60000,ES,50,RO,M
430,2022,SE,FT,Machine Learning Engineer,USD,65000,AE,100,AE,S
431,2022,SE,FT,Data Analyst,USD,132000,US,0,US,M
432,2022,EX,FT,Head of Machine Learning,INR,79039,IN,50,IN,L
433,2021,SE,FT,Machine Learning Scientist,USD,225000,US,100,CA,L
435,2022,EN,FT,Data Scientist,INR,18442,IN,100,IN,M
436,2022,SE,FT,Data Scientist,USD,95550,US,0,US,M
437,2021,MI,FT,Data Scientist,INR,9466,IN,0,IN,S
439,2021,SE,FT,Data Science Manager,INR,94665,IN,50,IN,L
440,2022,SE,FT,Data Scientist,USD,140400,US,0,US,M
441,2020,MI,FT,Data Engineer,USD,106000,US,100,US,L
442,2021,SE,FT,Data Engineer,USD,115000,US,100,US,S
443,2022,EN,FT,Data Engineer,USD,65000,US,100,US,S
444,2022,MI,FT,Machine Learning Developer,CAD,78791,CA,100,CA,M
445,2021,SE,FT,Computer Vision Engineer,USD,24000,BR,100,BR,M
446,2022,MI,FT,Data Analyst,EUR,43966,GR,100,GR,M
448,2020,MI,FT,Data Engineer,GBP,112872,GB,50,GB,L
449,2021,MI,FT,Data Architect,USD,150000,US,100,US,L
450,2020,EN,FT,Data Scientist,EUR,62726,DE,50,DE,S
451,2021,SE,CT,Staff Data Scientist,USD,105000,US,100,US,M
452,2021,MI,FT,Data Engineer,PLN,28476,PL,100,PL,L
453,2021,MI,FT,Data Engineer,USD,110000,US,100,US,L
454,2021,SE,FT,Data Analytics Engineer,USD,50000,VN,100,GB,M
455,2022,EX,FT,Data Analyst,USD,130000,US,100,US,M
456,2021,EN,FT,Machine Learning Engineer,USD,125000,US,100,US,S
